Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,4u7,C_0402_1005Metric,123.45,-84.96,180.0,top
C2,4u7,C_0402_1005Metric,129.05,-83.31,-90.0,top
C3,4u7,C_0402_1005Metric,123.45,-82.56,180.0,top
C4,100n,C_0402_1005Metric,130.1,-86.3,-90.0,top
C5,4u7,C_0402_1005Metric,125.3,-104.02,90.0,top
C6,15p,C_0402_1005Metric,124.35,-101.75,90.0,top
C7,15p,C_0402_1005Metric,122.8,-104.75,0.0,top
C8,100n,C_0402_1005Metric,126.25,-101.8,-90.0,top
C9,2u2,C_0402_1005Metric,129.2,-91.46,0.0,top
C10,100n,C_0402_1005Metric,131.55,-91.01,90.0,top
C11,100n,C_0402_1005Metric,120.8,-97.6,180.0,top
C12,2u2,C_0402_1005Metric,127.35,-91.46,180.0,top
C13,100n,C_0402_1005Metric,130.6,-91.01,90.0,top
C14,100n,C_0402_1005Metric,131.5,-97.1,0.0,top
C15,100n,C_0402_1005Metric,121.2,-93.05,90.0,top
C16,100n,C_0402_1005Metric,131.3,-93.13,90.0,top
C17,100n,C_0402_1005Metric,127.65,-101.35,0.0,top
C18,100n,C_0402_1005Metric,125.45,-91.46,180.0,top
C19,4u7,C_0402_1005Metric,124.4,-104.02,90.0,top
D1,B5817WS,D_SOD-323,121.5,-86.55,90.0,top
D2,LED,LED_0603_1608Metric,121.25,-89.6,90.0,top
F1,500mA,Fuse_0603_1608Metric,122.9,-83.76,0.0,top
J1,USB_C_Receptacle_USB2.0,USB-C_MID_MOUNT_918-418K2024S40000,126.2,-73.9,0.0,top
J4,D+,PinHeader_1x01_P2.54mm_Circle,118.56,-76.04,0.0,top
J5,D-,PinHeader_1x01_P2.54mm_Circle,133.8,-76.04,0.0,top
J6,"0.1"" x 5",PinHeader_1x05_P2.54mm_Circle,121.1,-106.52,90.0,top
J7,2.54,PinHeader_1x01_P2.54mm_Circle,131.26,-83.66,0.0,top
Q1,2N7002VC-7,SOT-563,130.9,-104.2,0.0,top
Q2,2N7002VC-7,SOT-563,129.95,-102.0,180.0,top
R1,5K1,R_0402_1005Metric,129.4,-84.85,0.0,top
R2,5K1,R_0402_1005Metric,121.6,-82.56,180.0,top
R3,2K2,R_0402_1005Metric,120.9,-83.95,-90.0,top
R4,5K1,R_0402_1005Metric,131.55,-82.05,0.0,top
R5,5K1,R_0402_1005Metric,128.15,-104.05,-90.0,top
R6,5K1,R_0402_1005Metric,122.5,-91.0,90.0,top
R7,27R,R_0402_1005Metric,130.25,-88.712973,-90.0,top
R8,27R,R_0402_1005Metric,131.25,-88.712973,-90.0,top
R9,1K,R_0402_1005Metric,125.3,-101.8,90.0,top
R10,5K1,R_0402_1005Metric,122.5,-89.1,90.0,top
R11,51K,R_0402_1005Metric,126.7,-103.5,180.0,top
R12,5K1,R_0402_1005Metric,127.65,-102.5,0.0,top
R13,51K,R_0402_1005Metric,129.1,-104.05,90.0,top
R14,51K,R_0402_1005Metric,126.7,-104.5,180.0,top
R15,1K,R_0402_1005Metric,131.8,-101.3,-90.0,top
R16,2K2,R_0402_1005Metric,121.0,-91.6,0.0,top
R17,5K1,R_0402_1005Metric,120.95,-104.75,0.0,top
U1,ME6211C33M5G-N,SOT-23-5,126.45,-83.76,0.0,top
U2,GD25Q64CWIGR,WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,126.35,-88.15,0.0,top
U3,RP2040,RP2040-QFN-56,126.2,-96.26,0.0,top
U4,74LVC1T45Z6-7,SOT-563,131.5,-86.05,90.0,top
Y1,12MHz,Crystal_SMD_2520-4Pin_2.5x2.0mm,122.4,-102.55,90.0,top
