"Source:","/media/data/projects/sea-picro/hardware/0.2-rst/sea-picro.kicad_sch"
"Date:","Fri 15 Apr 2022 20:56:30"
"Tool:","Eeschema 6.0.4-6f826c9f35~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","48"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","JLC Basic","LCSC","MPN ","Manufacturer"
"","","C1","4u7","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C23733","CL05A475MP5NRNC","Samsung Electro-Mechanics"
"","","C2","4u7","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C23733","CL05A475MP5NRNC","Samsung Electro-Mechanics"
"","","C3","4u7","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C23733","CL05A475MP5NRNC","Samsung Electro-Mechanics"
"","","C4","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C1525","CL05B104KO5NNNC","Samsung Electro-Mechanics"
"","","C5","4u7","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C23733","CL05A475MP5NRNC","Samsung Electro-Mechanics"
"","","C6","15p","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C1548","0402CG150J500NT","FH(Guangdong Fenghua Advanced Tech)"
"","","C7","15p","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C1548","0402CG150J500NT","FH(Guangdong Fenghua Advanced Tech)"
"","","C8","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C1525","CL05B104KO5NNNC","Samsung Electro-Mechanics"
"","","C9","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C15849","CL10A105KB8NNNC","Samsung Electro-Mechanics"
"","","C10","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C1525","CL05B104KO5NNNC","Samsung Electro-Mechanics"
"","","C11","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C1525","CL05B104KO5NNNC","Samsung Electro-Mechanics"
"","","C12","1u","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C15849","CL10A105KB8NNNC","Samsung Electro-Mechanics"
"","","C13","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C1525","CL05B104KO5NNNC","Samsung Electro-Mechanics"
"","","C14","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C1525","CL05B104KO5NNNC","Samsung Electro-Mechanics"
"","","C15","100n","Device:C","Capacitor_SMD:C_0402_1005Metric","~","Y","C1525","CL05B104KO5NNNC","Samsung Electro-Mechanics"
