Item,Qty,Reference(s),Value,Footprint,JLC Basic,MPN ,LCSC,Manufacturer,MPN2,LCSC2,Manufacturer2,Substitute
1,5,"C1, C2, C3, C5, C19",4u7,Capacitor_SMD:C_0402_1005Metric,Y,CL05A475MP5NRNC,C23733,Samsung Electro-Mechanics,,,,Y
2,10,"C4, C8, C10, C11, C13, C14, C15, C16, C17, C18",100n,Capacitor_SMD:C_0402_1005Metric,Y,CL05B104KO5NNNC,C1525,Samsung Electro-Mechanics,,,,Y
3,2,"C6, C7",15p,Capacitor_SMD:C_0402_1005Metric,Y,0402CG150J500NT,C1548,FH(Guangdong Fenghua Advanced Tech),,,,Y
4,2,"C9, C12",1u,Capacitor_SMD:C_0402_1005Metric,Y,CL10A105KB8NNNC,C15849,Samsung Electro-Mechanics,,,,Y
5,1,D1,B5817WS,josh-passives-smt:D_SOD-323,N,B5817WS,C122854,Shikues,,,,N
6,1,D2,LED,LED_SMD:LED_0603_1608Metric,Y,19-217/BHC-ZL1M2RY/3T,C72041,Everlight Elec,,,,Y - any pink
7,1,D3,WS2812C-2020,josh-led:WS2812C-2020,N,WS2812C-2020,C965556,Worldsemi ,,,,N
8,1,F1,500mA,josh-passives-smt:Fuse_0603_1608Metric,N,MF-FSMF050X-2,C210357,BOURNS,,,,Y
9,1,J1,USB_C_Receptacle_USB2.0,josh-connectors:USB-C_MID_MOUNT_918-418K2024S40000,N,918-418K2024S40000,C168688,Jing Extension of the Electronic Co,,,,Y
10,2,"Q1, Q2",2N7002VC-7,josh-soic-sot-etc:SOT-563,N,2N7002V,C504145,Changjiang Electronics Tech (CJ) ,,,,Y
11,8,"R1, R2, R4, R5, R6, R10, R12, R17",5K1,Resistor_SMD:R_0402_1005Metric,Y,0402WGF5101TCE,C25905,UNI-ROYAL(Uniroyal Elec),,,,Y
12,2,"R3, R16",2K2,Resistor_SMD:R_0402_1005Metric,Y,0402WGF2201TCE,C25879,UNI-ROYAL(Uniroyal Elec),,,,Y
13,2,"R7, R8",27R,Resistor_SMD:R_0402_1005Metric,N,0402WGF270JTCE,C25100,UNI-ROYAL(Uniroyal Elec),,,,Y
14,2,"R9, R15",1K,Resistor_SMD:R_0402_1005Metric,Y,0402WGF1001TCE,C11702,UNI-ROYAL(Uniroyal Elec),,,,Y
15,3,"R11, R13, R14",51K,Resistor_SMD:R_0402_1005Metric,Y,0402WGF5102TCE,C25794,UNI-ROYAL(Uniroyal Elec),,,,Y
16,1,SW1,SWITCH,josh-buttons-switches:SW_Push_KMR2,N,TS-1185EC-C-D-B,C318893,XKB Connectivity,,,,Y
17,1,U1,AP7365-33WG-7 ,josh-soic-sot-etc:SOT-23-5,N,AP7365-33WG-7 ,C150742,Diodes Incorporated,ME6211C33M5G-N,C82942,MICRONE(Nanjing Micro One Elec) ,Y - Confirm with Josh
18,1,U2,GD25Q64CWIGR,josh-dfn-qfn:WSON-8-1EP_6x5mm_P1.27mm_EP3.4x4mm,N,GD25Q64CWIGR,C395511,GigaDevice Semicon Beijing ,W25Q64JVZPIQ,C2940197,Winbond,N
19,1,U3,RP2040,josh-dfn-qfn:RP2040-QFN-56,N,RP2040,C2040,Raspberry Pi ,,,,N
20,1,Y1,12MHz,josh-oscillators:Crystal_SMD_2520-4Pin_2.5x2.0mm,N,2TJ412000HYGBC,C2149204,JYJE,2TJ412000NYGBC,C2149205,JYJE,N
